size,episode,full_coverage,coverage,coverage_percent,steps,total_reward
5,1,False,0.7727272727272727,77.27272727272727,200,-129.13636363636328
5,2,False,0.6818181818181818,68.18181818181817,200,-106.68181818181793
5,3,False,0.6818181818181818,68.18181818181817,200,-110.1818181818179
5,4,False,0.7272727272727273,72.72727272727273,200,-103.65909090909068
5,5,False,0.8181818181818182,81.81818181818183,200,-173.1136363636359
5,6,False,0.9090909090909091,90.9090909090909,200,-99.56818181818164
5,7,False,0.8181818181818182,81.81818181818183,200,-104.61363636363613
5,8,False,0.8636363636363636,86.36363636363636,200,-132.59090909090872
5,9,False,0.6363636363636364,63.63636363636363,200,-166.70454545454493
5,10,False,0.8636363636363636,86.36363636363636,200,-101.59090909090888
5,11,False,0.8636363636363636,86.36363636363636,200,-100.5909090909089
5,12,False,0.7272727272727273,72.72727272727273,200,-105.65909090909066
5,13,False,0.5454545454545454,54.54545454545454,200,-108.74999999999973
5,14,False,0.7727272727272727,77.27272727272727,200,-102.63636363636341
5,15,False,0.5,50.0,200,-111.27272727272698
5,16,False,0.7727272727272727,77.27272727272727,200,-104.6363636363634
5,17,False,0.8181818181818182,81.81818181818183,200,-105.61363636363612
5,18,False,0.7727272727272727,77.27272727272727,200,-120.63636363636331
5,19,False,0.45454545454545453,45.45454545454545,200,-115.2954545454542
5,20,False,0.8636363636363636,86.36363636363636,200,-108.09090909090882
5,21,False,0.6818181818181818,68.18181818181817,200,-136.1818181818178
5,22,False,0.8181818181818182,81.81818181818183,200,-103.61363636363615
5,23,False,0.6363636363636364,63.63636363636363,200,-190.2045454545449
5,24,False,0.3181818181818182,31.818181818181817,200,-116.86363636363602
5,25,False,0.7727272727272727,77.27272727272727,200,-131.63636363636326
5,26,False,0.6363636363636364,63.63636363636363,200,-196.70454545454484
5,27,False,0.8181818181818182,81.81818181818183,200,-110.11363636363608
5,28,False,0.8181818181818182,81.81818181818183,200,-101.61363636363616
5,29,False,0.9090909090909091,90.9090909090909,200,-100.56818181818163
5,30,False,0.8636363636363636,86.36363636363636,200,-104.09090909090887
10,1,False,0.29545454545454547,29.545454545454547,500,-267.3579545454531
10,2,False,0.625,62.5,500,-230.69318181818036
10,3,False,0.4659090909090909,46.590909090909086,500,-256.7727272727256
10,4,False,0.8636363636363636,86.36363636363636,500,-208.07386363636238
10,5,False,0.23863636363636365,23.863636363636363,500,-508.88636363636783
