size,episode,full_coverage,coverage,coverage_percent,steps,total_reward
10,6,False,0.48863636363636365,48.86363636363637,500,-249.761363636362
10,7,False,0.42045454545454547,42.04545454545455,500,-261.29545454545286
10,8,False,0.5113636363636364,51.13636363636363,500,-246.7499999999984
10,9,False,0.3977272727272727,39.77272727272727,500,-329.80681818181887
10,10,False,0.17045454545454544,17.045454545454543,500,-283.9204545454537
10,11,False,0.4431818181818182,44.31818181818182,500,-253.78409090908926
10,12,False,0.5795454545454546,57.95454545454546,500,-276.7159090909081
10,13,False,0.22727272727272727,22.727272727272727,500,-515.3920454545497
10,14,False,0.5227272727272727,52.27272727272727,500,-238.7443181818167
10,15,False,0.5113636363636364,51.13636363636363,500,-246.7499999999984
10,16,False,0.22727272727272727,22.727272727272727,500,-511.8920454545497
10,17,False,0.25,25.0,500,-376.8806818181838
10,18,False,0.6022727272727273,60.22727272727273,500,-234.70454545454396
10,19,False,0.6363636363636364,63.63636363636363,500,-235.68749999999852
10,20,False,0.5568181818181818,55.68181818181818,500,-239.22727272727124
10,21,False,0.29545454545454547,29.545454545454547,500,-499.85795454545854
10,22,False,0.14772727272727273,14.772727272727273,500,-290.4318181818176
10,23,False,0.3068181818181818,30.681818181818183,500,-498.35227272727667
10,24,False,0.375,37.5,500,-260.3181818181801
10,25,False,0.5454545454545454,54.54545454545454,500,-237.73295454545305
10,26,False,0.45454545454545453,45.45454545454545,500,-381.778409090911
10,27,False,0.48863636363636365,48.86363636363637,500,-247.76136363636203
10,28,False,0.5,50.0,500,-294.7556818181815
10,29,False,0.5681818181818182,56.81818181818182,500,-240.72159090908937
10,30,False,0.6136363636363636,61.36363636363637,500,-234.69886363636215
20,1,False,0.2840909090909091,28.40909090909091,1000,-476.8593750000065
20,2,False,0.29829545454545453,29.829545454545453,1000,-458.3522727272787
20,3,False,0.07102272727272728,7.1022727272727275,1000,-570.465909090919
20,4,False,0.21022727272727273,21.022727272727273,1000,-500.8963068181893
20,5,False,0.29261363636363635,29.261363636363637,1000,-888.8551136363759
20,6,False,0.3693181818181818,36.93181818181818,1000,-438.3167613636415
20,7,False,0.10795454545454546,10.795454545454545,1000,-551.9474431818275
20,8,False,0.23863636363636365,23.863636363636363,1000,-498.8821022727346
20,9,False,0.06534090909090909,6.534090909090909,1000,-1059.4687500000125
20,10,False,0.48863636363636365,48.86363636363637,1000,-372.25710227273026
20,11,False,0.10795454545454546,10.795454545454545,1000,-556.9474431818277
20,12,False,0.2471590909090909,24.71590909090909,1000,-722.8778409091018
20,13,False,0.3806818181818182,38.06818181818182,1000,-420.31107954545917
20,14,False,0.07102272727272728,7.1022727272727275,1000,-570.465909090919
20,15,False,0.09375,9.375,1000,-1037.9545454545596
20,16,False,0.26988636363636365,26.988636363636363,1000,-904.8664772727398
20,17,False,0.1534090909090909,15.340909090909092,1000,-530.9247159090994
20,18,False,0.3977272727272727,39.77272727272727,1000,-610.8025568181903
20,19,False,0.21022727272727273,21.022727272727273,1000,-939.896306818195
20,20,False,0.2784090909090909,27.84090909090909,1000,-472.3622159090972
20,21,False,0.06534090909090909,6.534090909090909,1000,-1053.968750000013
20,22,False,0.36079545454545453,36.07954545454545,1000,-827.3210227272838
20,23,False,0.29261363636363635,29.261363636363637,1000,-885.3551136363757
20,24,False,0.13920454545454544,13.920454545454545,1000,-1004.9318181818326
20,25,False,0.1534090909090909,15.340909090909092,1000,-994.9247159091052
20,26,False,0.15056818181818182,15.056818181818182,1000,-532.4261363636449
20,27,False,0.36079545454545453,36.07954545454545,1000,-424.3210227272772
20,28,False,0.4659090909090909,46.590909090909086,1000,-494.76846590909656
20,29,False,0.22727272727272727,22.727272727272727,1000,-491.38778409091617
20,30,False,0.15625,15.625,1000,-994.4232954545597
