episode,full_coverage,coverage,coverage_percent,steps,total_reward
1,False,0.5909090909090909,59.09090909090909,200,-132.72727272727232
2,False,0.9545454545454546,95.45454545454545,200,-98.54545454545438
3,False,0.7727272727272727,77.27272727272727,200,-103.63636363636341
4,False,0.6363636363636364,63.63636363636363,200,-108.70454545454518
5,False,0.8636363636363636,86.36363636363636,200,-98.09090909090892
6,False,0.6818181818181818,68.18181818181817,200,-107.68181818181792
7,False,0.8636363636363636,86.36363636363636,200,-109.09090909090882
8,False,0.8181818181818182,81.81818181818183,200,-105.61363636363612
9,False,0.7272727272727273,72.72727272727273,200,-107.15909090909065
10,False,0.5,50.0,200,-111.77272727272697
11,False,0.6363636363636364,63.63636363636363,200,-109.20454545454518
12,False,0.8181818181818182,81.81818181818183,200,-100.61363636363616
13,False,0.6363636363636364,63.63636363636363,200,-105.20454545454521
14,False,0.7272727272727273,72.72727272727273,200,-103.65909090909068
15,False,0.8181818181818182,81.81818181818183,200,-104.61363636363613
16,False,0.8636363636363636,86.36363636363636,200,-100.0909090909089
17,False,0.6818181818181818,68.18181818181817,200,-105.68181818181793
18,False,0.5909090909090909,59.09090909090909,200,-123.72727272727236
19,False,0.5,50.0,200,-152.77272727272677
20,False,0.7727272727272727,77.27272727272727,200,-110.63636363636334
21,False,0.6363636363636364,63.63636363636363,200,-142.704545454545
22,False,0.5909090909090909,59.09090909090909,200,-107.22727272727246
23,False,0.7272727272727273,72.72727272727273,200,-112.15909090909062
24,False,0.5909090909090909,59.09090909090909,200,-108.22727272727246
25,False,0.45454545454545453,45.45454545454545,200,-206.2954545454539
26,False,0.6818181818181818,68.18181818181817,200,-108.18181818181792
27,False,0.6818181818181818,68.18181818181817,200,-109.6818181818179
28,False,0.6818181818181818,68.18181818181817,200,-108.18181818181792
29,False,0.5909090909090909,59.09090909090909,200,-109.72727272727245
30,False,0.8181818181818182,81.81818181818183,200,-107.11363636363613
31,False,0.7727272727272727,77.27272727272727,200,-133.63636363636326
32,False,0.6818181818181818,68.18181818181817,200,-121.68181818181783
33,False,0.9090909090909091,90.9090909090909,200,-103.0681818181816
34,False,0.7727272727272727,77.27272727272727,200,-101.63636363636343
35,False,0.5909090909090909,59.09090909090909,200,-113.7272727272724
36,False,0.8181818181818182,81.81818181818183,200,-102.11363636363615
37,False,0.5454545454545454,54.54545454545454,200,-114.24999999999967
38,False,0.7727272727272727,77.27272727272727,200,-132.63636363636326
39,False,0.6363636363636364,63.63636363636363,200,-111.20454545454515
40,False,0.9090909090909091,90.9090909090909,200,-103.0681818181816
41,False,0.8181818181818182,81.81818181818183,200,-104.61363636363613
42,False,0.8181818181818182,81.81818181818183,200,-103.11363636363615
43,False,0.8636363636363636,86.36363636363636,200,-102.09090909090888
44,False,0.8636363636363636,86.36363636363636,200,-131.09090909090872
45,False,0.8636363636363636,86.36363636363636,200,-103.59090909090887
46,False,0.8181818181818182,81.81818181818183,200,-104.11363636363613
47,False,0.9545454545454546,95.45454545454545,200,-101.54545454545435
48,False,0.6818181818181818,68.18181818181817,200,-126.68181818181782
49,False,0.5909090909090909,59.09090909090909,200,-110.72727272727244
50,False,0.36363636363636365,36.36363636363637,200,-116.34090909090875
51,False,0.5909090909090909,59.09090909090909,200,-107.22727272727248
52,False,0.8636363636363636,86.36363636363636,200,-128.59090909090875
53,False,0.8636363636363636,86.36363636363636,200,-106.09090909090885
54,False,0.5,50.0,200,-113.77272727272695
55,False,0.8181818181818182,81.81818181818183,200,-105.11363636363613
56,False,0.8181818181818182,81.81818181818183,200,-100.11363636363618
57,False,0.7727272727272727,77.27272727272727,200,-107.63636363636337
58,False,0.6818181818181818,68.18181818181817,200,-106.68181818181793
59,False,0.8181818181818182,81.81818181818183,200,-107.1136363636361
60,False,0.8181818181818182,81.81818181818183,200,-121.11363636363595
61,False,0.5,50.0,200,-157.27272727272677
62,False,0.7272727272727273,72.72727272727273,200,-105.65909090909066
63,False,0.6363636363636364,63.63636363636363,200,-106.70454545454521
64,False,0.5454545454545454,54.54545454545454,200,-200.24999999999937
65,False,0.7272727272727273,72.72727272727273,200,-103.65909090909068
66,False,0.7272727272727273,72.72727272727273,200,-130.65909090909054
