episode,full_coverage,coverage,coverage_percent,steps,total_reward
1,False,0.5454545454545454,54.54545454545454,200,-202.24999999999937
2,False,0.5,50.0,200,-204.77272727272663
3,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
4,False,0.5,50.0,200,-204.27272727272663
5,False,0.8181818181818182,81.81818181818183,200,-190.6136363636358
6,False,0.7272727272727273,72.72727272727273,200,-194.15909090909034
7,False,0.45454545454545453,45.45454545454545,200,-206.7954545454539
8,False,0.6363636363636364,63.63636363636363,200,-197.20454545454484
9,False,0.2727272727272727,27.27272727272727,200,-214.88636363636294
10,False,0.2727272727272727,27.27272727272727,200,-214.88636363636294
11,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
12,False,0.6363636363636364,63.63636363636363,200,-197.20454545454484
13,False,0.8181818181818182,81.81818181818183,200,-190.6136363636358
14,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
15,False,0.36363636363636365,36.36363636363637,200,-210.3409090909084
16,False,0.6818181818181818,68.18181818181817,200,-195.1818181818176
17,False,0.9090909090909091,90.9090909090909,200,-184.0681818181813
18,False,0.18181818181818182,18.181818181818183,200,-218.93181818181748
19,False,0.09090909090909091,9.090909090909092,200,-222.977272727272
20,False,0.2727272727272727,27.27272727272727,200,-214.88636363636294
21,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
22,False,0.7727272727272727,77.27272727272727,200,-190.13636363636306
23,False,0.36363636363636365,36.36363636363637,200,-210.8409090909084
24,False,0.5454545454545454,54.54545454545454,200,-202.74999999999937
25,False,0.45454545454545453,45.45454545454545,200,-206.7954545454539
26,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
27,False,0.3181818181818182,31.818181818181817,200,-212.8636363636357
28,False,0.6818181818181818,68.18181818181817,200,-195.6818181818176
29,False,0.18181818181818182,18.181818181818183,200,-218.93181818181748
30,False,0.36363636363636365,36.36363636363637,200,-210.8409090909084
31,False,0.36363636363636365,36.36363636363637,200,-209.8409090909084
32,False,0.6363636363636364,63.63636363636363,200,-197.70454545454484
33,False,0.4090909090909091,40.909090909090914,200,-208.81818181818116
34,False,0.8181818181818182,81.81818181818183,200,-186.61363636363583
35,False,0.09090909090909091,9.090909090909092,200,-222.977272727272
36,False,0.2727272727272727,27.27272727272727,200,-214.88636363636294
37,False,0.8181818181818182,81.81818181818183,200,-188.6136363636358
38,False,0.36363636363636365,36.36363636363637,200,-210.8409090909084
