episode,full_coverage,coverage,coverage_percent,steps,total_reward
1,False,0.7840909090909091,78.4090909090909,500,-209.6136363636352
2,False,0.5909090909090909,59.09090909090909,500,-239.21022727272575
3,False,0.4659090909090909,46.590909090909086,500,-470.77272727273066
4,False,0.375,37.5,500,-488.31818181818556
5,False,0.36363636363636365,36.36363636363637,500,-481.82386363636726
6,False,0.5113636363636364,51.13636363636363,500,-455.25000000000307
7,False,0.5568181818181818,55.68181818181818,500,-242.2272727272712
8,False,0.6477272727272727,64.77272727272727,500,-226.68181818181682
9,False,0.42045454545454547,42.04545454545455,500,-251.29545454545294
10,False,0.3977272727272727,39.77272727272727,500,-257.80681818181654
11,False,0.26136363636363635,26.136363636363637,500,-510.3750000000042
12,False,0.6363636363636364,63.63636363636363,500,-330.6875000000007
13,False,0.48863636363636365,48.86363636363637,500,-250.76136363636203
14,False,0.7159090909090909,71.5909090909091,500,-225.6477272727259
15,False,0.5681818181818182,56.81818181818182,500,-234.72159090908949
16,False,0.19318181818181818,19.318181818181817,500,-520.9090909090953
17,False,0.625,62.5,500,-436.6931818181845
18,False,0.45454545454545453,45.45454545454545,500,-248.27840909090753
19,False,0.6477272727272727,64.77272727272727,500,-233.68181818181677
20,False,0.7840909090909091,78.4090909090909,500,-296.61363636363603
21,False,0.45454545454545453,45.45454545454545,500,-256.7784090909074
22,False,0.75,75.0,500,-280.1306818181811
23,False,0.5909090909090909,59.09090909090909,500,-233.21022727272586
24,False,0.42045454545454547,42.04545454545455,500,-256.2954545454529
25,False,0.38636363636363635,38.63636363636363,500,-487.31250000000375
26,False,0.3181818181818182,31.818181818181817,500,-495.3465909090948
27,False,0.2727272727272727,27.27272727272727,500,-506.86931818182234
28,False,0.625,62.5,500,-231.19318181818036
29,False,0.5113636363636364,51.13636363636363,500,-253.24999999999835
30,False,0.8068181818181818,80.68181818181817,500,-210.10227272727147
